이름,전화번호,이메일,거주지,나이,회원등급,선호카테고리,구매횟수,총구매금액,유입채널,가입일
황현우,010-4269-8541,황현우54@kakao.com,경기도 수원시 영통구,23,Silver,도서·문구 / 생활용품,9,1960000,직접방문,2022-11-17
서동현,010-6425-1452,서동현24@kakao.com,경기도 화성시 동탄면,38,Bronze,도서·문구 / 생활용품,11,3400000,제휴몰,2020-07-19
조예린,010-1727-8144,조예린10@company.co.kr,대구광역시 수성구 범어동,45,Silver,뷰티·헬스 / 스포츠,11,2300000,직접방문,2024-05-22
신지민,010-7592-5844,신지민80@naver.com,경기도 용인시 수지구,46,Silver,생활용품 / 뷰티·헬스,19,4570000,검색광고,2022-05-07
신수현,010-6279-8618,신수현66@daum.net,경상남도 창원시 성산구,54,Silver,생활용품 / 도서·문구,3,760000,제휴몰,2022-02-27
윤도현,010-4680-4262,윤도현28@gmail.com,서울특별시 종로구 혜화동,52,Silver,패션의류 / 스포츠,14,5330000,이메일,2023-07-08
정민준,010-2746-7965,정민준38@naver.com,경상남도 진주시 초전동,25,Silver,패션의류 / 스포츠,5,1640000,제휴몰,2024-06-25
권지현,010-9270-7991,권지현80@daum.net,경기도 안양시 동안구,52,Silver,식품·음료 / 가구·인테리어,9,2910000,SNS,2022-08-03
임현우,010-5451-6502,임현우50@company.co.kr,서울특별시 송파구 잠실동,31,Bronze,생활용품 / 도서·문구,7,1200000,직접방문,2024-08-14
이하은,010-7883-7381,이하은84@gmail.com,대구광역시 달서구 성당동,52,Bronze,뷰티·헬스 / 생활용품,13,3890000,제휴몰,2024-04-16
윤예린,010-8140-8956,윤예린13@daum.net,인천광역시 부평구 부개동,47,Gold,가구·인테리어 / 패션의류,20,5210000,이메일,2024-10-22
김지호,010-8022-3223,김지호69@naver.com,서울특별시 서대문구 연희동,46,Bronze,가구·인테리어 / 생활용품,11,2790000,이메일,2022-02-16
김동현,010-1853-6733,김동현38@gmail.com,경상남도 창원시 성산구,23,VIP,식품·음료 / 가구·인테리어,1,300000,SNS,2023-11-04
류하은,010-8619-5198,류하은57@naver.com,대구광역시 수성구 범어동,32,VIP,패션의류 / 뷰티·헬스,1,260000,이메일,2023-12-07
박수현,010-4978-2669,박수현99@kakao.com,경상남도 창원시 성산구,58,Gold,뷰티·헬스 / 스포츠,14,3040000,직접방문,2020-07-27
황수아,010-8102-6934,황수아91@daum.net,경상남도 창원시 성산구,49,Bronze,스포츠 / 뷰티·헬스,18,5580000,제휴몰,2022-06-28
윤지호,010-5569-8385,윤지호41@daum.net,대구광역시 달서구 성당동,43,Bronze,뷰티·헬스 / 패션의류,16,3280000,직접방문,2022-05-20
장동현,010-1166-9464,장동현34@gmail.com,경기도 안양시 동안구,48,Silver,식품·음료 / 도서·문구,16,6470000,이메일,2020-02-10
윤태양,010-4986-6016,윤태양94@company.co.kr,인천광역시 연수구 송도동,57,Silver,도서·문구 / 뷰티·헬스,18,4390000,이메일,2022-05-09
윤수아,010-4155-6169,윤수아25@company.co.kr,경상남도 창원시 성산구,34,Bronze,가구·인테리어 / 생활용품,19,6470000,검색광고,2021-05-08
오지우,010-5952-1231,오지우78@naver.com,인천광역시 남동구 구월동,25,Silver,생활용품 / 도서·문구,16,3560000,제휴몰,2022-08-16
권지민,010-4020-1841,권지민42@daum.net,서울특별시 마포구 합정동,47,Silver,전자제품 / 생활용품,5,2100000,검색광고,2021-02-18
신지현,010-4697-9561,신지현58@daum.net,부산광역시 수영구 광안동,49,Bronze,전자제품 / 뷰티·헬스,4,930000,직접방문,2020-03-08
강동현,010-2229-3564,강동현10@daum.net,부산광역시 남구 대연동,52,Bronze,식품·음료 / 생활용품,10,2420000,SNS,2022-11-19
조나연,010-2880-9922,조나연38@naver.com,인천광역시 남동구 구월동,26,Bronze,스포츠 / 뷰티·헬스,19,4650000,이메일,2022-12-13
장채원,010-9847-9090,장채원66@gmail.com,대구광역시 수성구 범어동,49,Gold,스포츠 / 전자제품,3,850000,제휴몰,2024-01-25
장수현,010-1659-3870,장수현70@company.co.kr,경상남도 진주시 초전동,39,Bronze,도서·문구 / 뷰티·헬스,16,2820000,이메일,2022-06-22
최지우,010-6403-7744,최지우98@daum.net,인천광역시 부평구 부개동,47,Gold,전자제품 / 스포츠,3,690000,검색광고,2023-09-27
